r1_inflow,r1_upstream_release,r1_min_flow,r1_demand,r1_release,r1_delivery,r1_storage,r2_inflow,r2_upstream_release,r2_min_flow,r2_demand,r2_release,r2_delivery,r2_storage
0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
518.8343080936133,0.0,127.37157439001771,459.28011219160635,127.37157439001771,459.28011219160635,249932.18262151198,433.27344516016245,127.37157439001771,300.00092602638097,253.580854330029,300.00092602638097,253.580854330029,15007.06323919377
484.837028962989,0.0,125.6587362581356,494.1527055152278,125.6587362581356,494.1527055152278,249797.2082087016,522.172880704328,125.6587362581356,300.02314980201095,240.08276874570484,300.02314980201095,240.08276874570484,15114.788937608519
484.14573619763655,0.0,123.99755920529284,497.3025130185428,123.99755920529284,497.3025130185428,249660.0538726754,606.6149161729495,123.99755920529284,300.07499887603166,240.4571788783316,300.07499887603166,240.4571788783316,15304.869235232398
508.8125404910627,0.0,122.38853547410136,536.0577632562907,122.38853547410136,536.0577632562907,249510.42011443607,454.46515506709085,122.38853547410136,300.15645788444357,240.3343895154076,300.15645788444357,240.3343895154076,15341.23207837374
568.7231146866674,0.0,120.83214185301821,435.990439216851,120.83214185301821,435.990439216851,249522.32064805288,593.0914655192689,120.83214185301821,300.2675026891844,224.00458858746825,300.2675026891844,224.00458858746825,15530.883594469375
513.8501846595199,0.0,119.32883953506311,522.3036388297716,119.32883953506311,522.3036388297716,249394.53835434755,638.7049207852039,119.32883953506311,300.40810038528207,233.6115717056137,300.40810038528207,233.6115717056137,15754.897682698745
521.8565346317382,0.0,117.87907398115672,474.9068892814521,117.87907398115672,474.9068892814521,249323.6089257167,393.8920723863587,117.87907398115672,300.5782093106048,246.74367482136267,300.5782093106048,246.74367482136267,15719.346944934294
580.6139593112102,0.0,116.48327478812124,427.1871198883135,116.48327478812124,427.1871198883135,249360.55249035146,324.71401079595023,116.48327478812124,300.77777905820676,242.72003113331846,300.77777905820676,242.72003113331846,15617.04642032684
538.8011654122879,0.0,115.14185556138133,517.3578899050484,115.14185556138133,517.3578899050484,249266.85391029733,510.0188735161644,115.14185556138133,301.0067504912647,237.96494286717996,301.0067504912647,237.96494286717996,15703.23545604594
542.4751684072592,0.0,113.8552137924041,428.93396054739173,113.8552137924041,428.93396054739173,249266.5399043648,596.5677739672643,113.8552137924041,301.2650557606014,223.8828938956963,301.2650557606014,223.8828938956963,15888.510494149312
574.7177460192139,0.0,112.62373074091369,454.3694732524542,112.62373074091369,454.3694732524542,249274.26444639065,582.8584257190279,112.62373074091369,301.5526183247908,230.2668817051366,301.5526183247908,230.2668817051366,16052.173150579327
538.0641395963024,0.0,111.44777132191584,503.6353567795062,111.44777132191584,503.6353567795062,249197.24545788552,582.6010458868051,111.44777132191584,301.86935297283907,246.5543960727449,301.86935297283907,246.5543960727449,16197.798218742464
565.273807916582,0.0,110.32768399756569,523.5295085129255,110.32768399756569,523.5295085129255,249128.6620732916,574.7657599051835,110.32768399756569,302.2151658494343,222.89556553328265,302.2151658494343,222.89556553328265,16357.780931262496
581.9466358403334,0.0,109.26380067391085,453.5399590271493,109.26380067391085,453.5399590271493,249147.80494943087,310.1885160746224,109.26380067391085,302.58995448275795,230.76361676168546,302.58995448275795,230.76361676168546,16243.879676766586
591.2058102254654,0.0,108.25643660254073,460.46281964130776,108.25643660254073,460.46281964130776,249170.29150341247,511.66482766188,108.25643660254073,302.99360781484927,218.54563516083027,302.99360781484927,218.54563516083027,16342.261698055327
586.4318595210046,0.0,107.30589028717023,397.7483829017855,107.30589028717023,397.7483829017855,249251.66908974454,681.3972072178083,107.30589028717023,303.4260062345145,226.37896352331526,303.4260062345145,226.37896352331526,16601.159825802475
563.0910671907478,0.0,106.41244339518715,410.83834202889255,106.41244339518715,410.83834202889255,249297.5093715112,471.1765654923083,106.41244339518715,303.8870216127699,222.625135507561,303.8870216127699,222.625135507561,16652.23667756964
571.8170477881013,0.0,105.57636067418775,412.29416861124645,105.57636067418775,412.29416861124645,249351.45589001387,579.512667322818,105.57636067418775,304.3765173408094,233.01313531931967,304.3765173408094,233.01313531931967,16799.936052906516
569.2715019063343,0.0,104.79788987352634,390.9666428455439,104.79788987352634,390.9666428455439,249424.96285920113,516.0638490961308,104.79788987352634,304.89434837048464,226.515254843056,304.89434837048464,226.515254843056,16889.388188662633
598.3354859422894,0.0,104.07726167090198,354.0951741449185,104.07726167090198,354.0951741449185,249565.1259093276,732.757393100726,104.07726167090198,305.44036125728576,215.83137706327597,305.44036125728576,215.83137706327597,17204.951105113698
637.5966471108459,0.0,103.41468960400354,370.80350509904747,103.41468960400354,370.80350509904747,249728.5043617354,469.3242060523469,103.41468960400354,306.01439420581045,221.09678917309597,306.01439420581045,221.09678917309597,17250.578817391142
601.6493343868136,0.0,102.81037000723393,384.23623635309394,102.81037000723393,384.23623635309394,249843.10708976188,642.6277549911341,102.81037000723393,306.6162771177075,204.49125472606025,306.6162771177075,204.49125472606025,17484.909410545744
632.0185174633025,0.0,102.26448195353191,378.9139029243148,102.26448195353191,378.9139029243148,249993.94722234734,697.7042110298972,102.26448195353191,307.24583164208036,217.34786833033579,307.24583164208036,217.34786833033579,17760.284403556758
587.7178908366261,0.0,101.77718720130906,413.0542816876732,101.77718720130906,413.0542816876732,250066.833644295,798.9754917715788,101.77718720130906,307.90287122833655,219.85724379923667,307.90287122833655,219.85724379923667,18133.27696750207
622.6760954674073,0.0,101.34863014651714,383.786754541617,101.34863014651714,383.786754541617,250204.37435507428,491.726837002681,101.34863014651714,308.58720118146664,211.83874083257413,308.58720118146664,211.83874083257413,18205.92649263723
598.7437566369963,0.0,100.9789377798605,349.74468179425907,100.9789377798605,349.74468179425907,250352.39449213716,589.9008419518739,100.9789377798605,309.2986187197364,234.5471091424552,309.2986187197364,234.5471091424552,18352.960544506772
640.2945903989798,0.0,100.66821964916596,402.53855134089684,100.66821964916596,402.53855134089684,250489.48231154607,611.0997342048888,100.66821964916596,310.0369130347757,208.72318532738532,310.0369130347757,208.72318532738532,18545.968399998666
638.175066134632,0.0,100.41656782692158,372.0494952700624,100.41656782692158,372.0494952700624,250655.19131458373,683.4316248751779,100.41656782692158,310.80186535404516,228.70975285666992,310.80186535404516,228.70975285666992,18790.30497449005
664.1399053636144,0.0,100.22405688299327,392.120109199649,100.22405688299327,392.120109199649,250826.9870538647,697.4912846865082,100.22405688299327,311.59324900566367,208.85268997671005,311.59324900566367,208.85268997671005,19067.574377077177
641.654721906701,0.0,100.09074386252854,371.30759503786817,100.09074386252854,371.30759503786817,250997.243436871,506.2566591016037,100.09074386252854,312.41082948557573,204.32519429006183,312.41082948557573,204.32519429006183,19157.185756265673
630.4334137690008,0.0,100.01666826905242,360.4717761548734,100.01666826905242,360.4717761548734,251167.1884062161,407.70267972075726,100.01666826905242,313.2543645270403,234.12732377224927,313.2543645270403,234.12732377224927,19117.523415956195
656.6756061007334,0.0,100.00185205276196,372.2557305946474,100.00185205276196,372.2557305946474,251351.60642966942,665.4932964402169,100.00185205276196,314.12360417241973,211.27896597743157,314.12360417241973,211.27896597743157,19357.61599429932
666.8172325366138,0.0,100.04629960402184,382.0210794690163,100.04629960402184,382.0210794690163,251536.356283133,680.5893582695736,100.04629960402184,315.0182908472472,189.67162344306425,315.0182908472472,189.67162344306425,19633.561737882606
682.2472301308719,0.0,100.14999775206331,368.8118679533981,100.14999775206331,368.8118679533981,251749.64164755843,672.6614835059644,100.14999775206331,315.93815943655216,215.81375546242106,315.93815943655216,215.81375546242106,19874.62130424166
670.9905150063183,0.0,100.31291576888714,403.7090697535444,100.31291576888714,403.7090697535444,251916.6101770423,576.5995973861006,100.31291576888714,316.8829373634192,215.51101192583698,336.02280547081074,215.51101192583698,20000.0
664.3427898974144,0.0,100.53500537836891,357.8617305020093,100.53500537836891,357.8617305020093,252122.55623105934,857.3280303389288,100.53500537836891,317.85234466975857,227.32452334356697,730.5385123737292,227.32452334356697,20000.0
680.1367668639411,0.0,100.8162007705642,381.89046796210937,100.8162007705642,381.89046796210937,252319.9863291906,598.5971678282143,100.8162007705642,318.8460940992639,189.976806130784,509.4365624679934,189.976806130784,20000.0
689.0405845437973,0.0,101.15641862120961,343.1350746603751,101.15641862120961,343.1350746603751,252564.7354204528,502.2657621811219,101.15641862120961,319.86389118253237,185.19298079181053,418.22920001052216,185.19298079181053,20000.0
710.6023051128625,0.0,101.55555811641355,365.293133871775,101.55555811641355,365.293133871775,252808.48903357747,679.1135542263505,101.55555811641355,320.9054343243223,200.01316312555244,580.6559492172127,200.01316312555244,20000.0
686.4976093488456,0.0,102.0135009825294,386.8593241118849,102.0135009825294,386.8593241118849,253006.1138178319,572.8969531361661,102.0135009825294,321.97041489292246,209.12565804039912,465.7847960782958,209.12565804039912,20000.0
670.4131879011024,0.0,102.53011152120274,349.1677481879383,102.53011152120274,349.1677481879383,253224.82914602387,526.1170301533797,102.53011152120274,323.05851731160624,201.29655251305752,427.35058916152525,201.29655251305752,20000.0
687.5092295872751,0.0,103.10523664958154,367.1830343133831,103.10523664958154,367.1830343133831,253442.05010464817,677.4295387236516,103.10523664958154,324.16941915214375,199.24642807592204,581.2883472973099,199.24642807592204,20000.0
695.5529067119301,0.0,103.73870594567813,336.7243083850842,103.73870594567813,336.7243083850842,253697.13999702933,636.233055415207,103.73870594567813,325.3027912303445,196.1283420828722,543.8434192780118,196.1283420828722,20000.0
717.9096820589257,0.0,104.43033169886863,342.8954899174056,104.43033169886863,342.8954899174056,253967.72385747198,659.7164217746935,104.43033169886863,326.45829770360143,229.3244485572287,534.8223049163323,229.3244485572287,20000.0
696.2433839258795,0.0,105.17990896551589,353.37709424668526,105.17990896551589,353.37709424668526,254205.41023818566,494.2198401595308,105.17990896551589,327.6355961704088,222.87575093975795,376.52399818528863,222.87575093975795,20000.0
691.2476157833697,0.0,105.9872156296986,300.1163006233738,105.9872156296986,300.1163006233738,254490.55433771596,629.8289552945063,105.9872156296986,328.83433777182256,193.97316559778187,541.8430053264234,193.97316559778187,20000.0
688.5783126373631,0.0,106.85201246902903,351.28344791789624,106.85201246902903,351.28344791789624,254720.9971899664,719.7455604156946,106.85201246902903,330.0541672948353,203.26881286222525,623.328760022498,203.26881286222525,20000.0
