r1_inflow,r1_upstream_release,r1_min_flow,r1_demand,r1_release,r1_delivery,r1_storage,r2_inflow,r2_upstream_release,r2_min_flow,r2_demand,r2_release,r2_delivery,r2_storage
0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
476.42316497538656,0.0,127.37157439001771,466.73263490891685,127.37157439001771,466.73263490891685,249882.31895567646,568.1917814066015,127.37157439001771,300.00092602638097,226.9367177091033,300.00092602638097,226.9367177091033,15168.625712061135
502.29633008074103,0.0,125.6587362581356,428.6339881769039,125.6587362581356,428.6339881769039,249830.32256132216,614.3503916092782,125.6587362581356,300.02314980201095,250.42274201593995,300.02314980201095,250.42274201593995,15358.188948110599
537.4528032228048,0.0,123.99755920529284,476.36040368169523,123.99755920529284,476.36040368169523,249767.41740165796,547.1094370337238,123.99755920529284,300.07499887603166,244.0682215559962,300.07499887603166,244.0682215559962,15485.152723917588
500.7193611413819,0.0,122.38853547410136,491.0473404902212,122.38853547410136,491.0473404902212,249654.70088683502,384.6333784153942,122.38853547410136,300.15645788444357,241.92933815080377,300.15645788444357,241.92933815080377,15450.088841771836
534.5726415989667,0.0,120.83214185301821,483.6487859249182,120.83214185301821,483.6487859249182,249584.79260065604,472.4160591010426,120.83214185301821,300.2675026891844,265.93577773824717,300.2675026891844,265.93577773824717,15477.133762298465
526.9528925935136,0.0,119.32883953506311,459.58802763926803,119.32883953506311,459.58802763926803,249532.82862607524,532.5178686193815,119.32883953506311,300.40810038528207,237.39477082695979,300.40810038528207,237.39477082695979,15591.177599240667
523.228429547607,0.0,117.87907398115672,461.99366659567545,117.87907398115672,461.99366659567545,249476.184315046,722.2279707071632,117.87907398115672,300.5782093106048,241.4473363565213,300.5782093106048,241.4473363565213,15889.25909826186
539.5736587675104,0.0,116.48327478812124,488.07040158893034,116.48327478812124,488.07040158893034,249411.20429743646,724.5551945438675,116.48327478812124,300.77777905820676,237.60081896859316,300.77777905820676,237.60081896859316,16191.918969567048
528.7061155260654,0.0,115.14185556138133,537.4671120617895,115.14185556138133,537.4671120617895,249287.30144533934,380.0918221661225,115.14185556138133,301.0067504912647,234.79965751054777,301.0067504912647,234.79965751054777,16151.34623929274
559.6303060079957,0.0,113.8552137924041,527.1605446369804,113.8552137924041,527.1605446369804,249205.91599291796,434.27445843439784,113.8552137924041,301.2650557606014,212.84626629142957,301.2650557606014,212.84626629142957,16185.36458946751
564.6207927358483,0.0,112.62373074091369,438.4685987275834,112.62373074091369,438.4685987275834,249219.4444561853,493.7482357323717,112.62373074091369,301.5526183247908,240.40759650525175,301.5526183247908,240.40759650525175,16249.776341110753
