r1_inflow,r1_upstream_release,r1_min_flow,r1_demand,r1_release,r1_delivery,r1_storage,r2_inflow,r2_upstream_release,r2_min_flow,r2_demand,r2_release,r2_delivery,r2_storage
0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
494.882394231048,0.0,127.37157439001771,516.5204007081363,127.37157439001771,516.5204007081363,249850.9904191329,478.6352734896941,127.37157439001771,300.00092602638097,246.72513443211056,300.00092602638097,246.72513443211056,15059.28078742122
486.56364304029506,0.0,125.6587362581356,489.9172477761438,125.6587362581356,489.9172477761438,249721.9780781389,615.4449700754744,125.6587362581356,300.02314980201095,252.63522773967406,300.02314980201095,252.63522773967406,15247.726116213144
531.0640650646171,0.0,123.99755920529284,498.95296261102243,123.99755920529284,498.95296261102243,249630.0916213872,546.7669092808056,123.99755920529284,300.07499887603166,248.78026178809063,300.07499887603166,248.78026178809063,15369.63532403512
482.1646496607372,0.0,122.38853547410136,512.3451395017526,122.38853547410136,512.3451395017526,249477.52259607209,560.9926162413899,122.38853547410136,300.15645788444357,250.4641365275543,300.15645788444357,250.4641365275543,15502.395881338613
486.81343700372753,0.0,120.83214185301821,429.60627348479176,120.83214185301821,429.60627348479176,249413.897617738,424.4833470092208,120.83214185301821,300.2675026891844,239.35918100164994,300.2675026891844,239.35918100164994,15508.084686510017
531.8983594578827,0.0,119.32883953506311,475.8158604399359,119.32883953506311,475.8158604399359,249350.65127722087,568.6587693196269,119.32883953506311,300.40810038528207,236.2004257108226,300.40810038528207,236.2004257108226,15659.463769268603
537.1045722184481,0.0,117.87907398115672,484.3245323149101,117.87907398115672,484.3245323149101,249285.55224314326,453.5886674055912,117.87907398115672,300.5782093106048,258.3967779440901,300.5782093106048,258.3967779440901,15671.956523400655
547.1946005871549,0.0,116.48327478812124,503.75452183422175,116.48327478812124,503.75452183422175,249212.50904710806,460.83402730299423,116.48327478812124,300.77777905820676,232.44243471525996,300.77777905820676,232.44243471525996,15716.053611718304
534.302698050716,0.0,115.14185556138133,460.0353520013059,115.14185556138133,460.0353520013059,249171.63453759608,589.2629659250803,115.14185556138133,301.0067504912647,240.95581253936413,301.0067504912647,240.95581253936413,15878.495870174136
537.345548294641,0.0,113.8552137924041,429.9447782879696,113.8552137924041,429.9447782879696,249165.18009381034,477.20574455807184,113.8552137924041,301.2650557606014,249.33293168941555,301.2650557606014,249.33293168941555,15918.958841074595
535.2290146882865,0.0,112.62373074091369,461.4609502868751,112.62373074091369,461.4609502868751,249126.32442747083,575.1473175485937,112.62373074091369,301.5526183247908,220.8970973277325,301.5526183247908,220.8970973277325,16084.280173711579
557.4375001090925,0.0,111.44777132191584,488.81476396047935,111.44777132191584,488.81476396047935,249083.49939229753,334.30968519050083,111.44777132191584,301.86935297283907,231.26842576843475,301.86935297283907,231.26842576843475,15996.899851482722
559.4085665880721,0.0,110.32768399756569,420.6634736221337,110.32768399756569,420.6634736221337,249111.9168012659,588.7547561886677,110.32768399756569,302.2151658494343,232.57081462931706,302.2151658494343,232.57081462931706,16161.196311190204
537.2833207581685,0.0,109.26380067391085,465.61636190615934,109.26380067391085,465.61636190615934,249074.319959444,609.2370824059783,109.26380067391085,302.58995448275795,241.38107697637247,302.58995448275795,241.38107697637247,16335.726162810963
600.4137780656371,0.0,108.25643660254073,447.29517854825485,108.25643660254073,447.29517854825485,249119.18212235885,557.5357835281908,108.25643660254073,302.99360781484927,217.68019646398974,302.99360781484927,217.68019646398974,16480.844578662854
588.9148527891556,0.0,107.30589028717023,413.7704536886355,107.30589028717023,413.7704536886355,249187.0206311722,503.65915101487894,107.30589028717023,303.4260062345145,216.79376124626899,303.4260062345145,216.79376124626899,16571.58985248412
562.2351607160149,0.0,106.41244339518715,411.93468685022646,106.41244339518715,411.93468685022646,249230.9086616428,681.1492011064087,106.41244339518715,303.8870216127699,207.91438815791705,303.8870216127699,207.91438815791705,16847.35008721503
557.3906187926054,0.0,105.57636067418775,430.84495720349315,105.57636067418775,430.84495720349315,249251.87796255774,699.9506728148165,105.57636067418775,304.3765173408094,232.8292140950994,304.3765173408094,232.8292140950994,17115.671389268125
553.4775018582476,0.0,104.79788987352634,343.9657361315859,104.79788987352634,343.9657361315859,249356.59183841088,594.7188215973788,104.79788987352634,304.89434837048464,218.5151795177759,304.89434837048464,218.5151795177759,17291.77857285077
573.9851670371679,0.0,104.07726167090198,444.7357572535885,104.07726167090198,444.7357572535885,249381.76398652355,672.5332784493916,104.07726167090198,305.44036125728576,226.30583605118403,305.44036125728576,226.30583605118403,17536.642915662593
606.1724000838188,0.0,103.41468960400354,424.4020399162136,103.41468960400354,424.4020399162136,249460.11965708717,725.1417768568324,103.41468960400354,306.01439420581045,229.80142475349956,306.01439420581045,229.80142475349956,17829.38356316412
616.4758274324269,0.0,102.81037000723393,423.8157132379678,102.81037000723393,423.8157132379678,249549.9694012744,412.3071836116478,102.81037000723393,306.6162771177075,235.32893104733682,306.6162771177075,235.32893104733682,17802.555908617956
630.0194045371245,0.0,102.26448195353191,419.3418044912652,102.26448195353191,419.3418044912652,249658.3825193667,375.15670202368403,102.26448195353191,307.24583164208036,215.09821423626516,307.24583164208036,215.09821423626516,17757.633046716826
632.5450937500317,0.0,101.77718720130906,345.2444131603001,101.77718720130906,345.2444131603001,249843.90601275515,557.5561680875254,101.77718720130906,307.90287122833655,230.57699034026135,307.90287122833655,230.57699034026135,17878.48654043706
