r1_inflow,r1_upstream_release,r1_min_flow,r1_demand,r1_release,r1_delivery,r1_storage,r2_inflow,r2_upstream_release,r2_min_flow,r2_demand,r2_release,r2_delivery,r2_storage
0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
501.8941607657461,0.0,127.37157439001771,538.6781867651474,127.37157439001771,538.6781867651474,249835.8443996106,408.1070531959339,127.37157439001771,300.00092602638097,259.7995914606148,300.00092602638097,259.7995914606148,14975.678110098956
499.9809160928817,0.0,125.6587362581356,488.47097667934474,125.6587362581356,488.47097667934474,249721.695602766,694.225759823318,125.6587362581356,300.02314980201095,249.96913161475192,300.02314980201095,249.96913161475192,15245.570324763647
509.46799841097885,0.0,123.99755920529284,513.370835374138,123.99755920529284,513.370835374138,249593.79520659754,619.9753420578154,123.99755920529284,300.07499887603166,246.61856243345733,300.07499887603166,246.61856243345733,15442.849664717265
527.2457750705834,0.0,122.38853547410136,457.4758797148395,122.38853547410136,457.4758797148395,249541.17656647917,473.675084653865,122.38853547410136,300.15645788444357,241.09470580190705,300.15645788444357,241.09470580190705,15497.66212115888
493.995064748873,0.0,120.83214185301821,436.6674931882277,120.83214185301821,436.6674931882277,249477.6719961868,350.75360849421094,120.83214185301821,300.2675026891844,241.65454520454426,300.2675026891844,241.65454520454426,15427.325823612382
522.3409306641917,0.0,119.32883953506311,467.58308113393707,119.32883953506311,467.58308113393707,249413.101006182,523.4740439490424,119.32883953506311,300.40810038528207,229.2669181938606,300.40810038528207,229.2669181938606,15540.453688517346
529.3412086083234,0.0,117.87907398115672,479.64285315203597,117.87907398115672,479.64285315203597,249344.92028765712,594.8066428481576,117.87907398115672,300.5782093106048,232.7592483180872,300.5782093106048,232.7592483180872,15719.801947717968
528.0649973302947,0.0,116.48327478812124,407.38903501728026,116.48327478812124,407.38903501728026,249349.112975182,472.5023623630784,116.48327478812124,300.77777905820676,217.87068346113784,300.77777905820676,217.87068346113784,15790.139122349823
512.7959112161368,0.0,115.14185556138133,496.2733367181305,115.14185556138133,496.2733367181305,249250.49369411863,305.8921954775923,115.14185556138133,301.0067504912647,246.45715763643835,301.0067504912647,246.45715763643835,15663.709265261094
552.8505792378262,0.0,113.8552137924041,449.2819747119899,113.8552137924041,449.2819747119899,249240.20708485207,575.1991193417808,113.8552137924041,301.2650557606014,242.3983314808284,301.2650557606014,242.3983314808284,15809.10021115385
572.2963695003912,0.0,112.62373074091369,447.2070829592921,112.62373074091369,447.2070829592921,249252.67264065225,473.2734359880502,112.62373074091369,301.5526183247908,229.7483753981146,301.5526183247908,229.7483753981146,15863.696384159908
536.7391809098623,0.0,111.44777132191584,448.2797660415525,111.44777132191584,448.2797660415525,249229.68428419865,457.17021304578805,111.44777132191584,301.86935297283907,245.17030925675962,301.86935297283907,245.17030925675962,15885.274706298012
524.142877483951,0.0,110.32768399756569,412.3689416415359,110.32768399756569,412.3689416415359,249231.1305360435,443.698321600958,110.32768399756569,302.2151658494343,212.2649783680966,302.2151658494343,212.2649783680966,15924.820567679006
604.6220262489555,0.0,109.26380067391085,368.53080989144047,109.26380067391085,368.53080989144047,249357.9579517271,513.9746282697727,109.26380067391085,302.58995448275795,226.67053659488647,302.58995448275795,226.67053659488647,16018.798505545044
604.720227935978,0.0,108.25643660254073,376.8653749606545,108.25643660254073,376.8653749606545,249477.55636809987,652.7917033311778,108.25643660254073,302.99360781484927,223.35773642319143,302.99360781484927,223.35773642319143,16253.495301240722
573.5014949208984,0.0,107.30589028717023,411.9941366046611,107.30589028717023,411.9941366046611,249531.75783612893,612.9768626949304,107.30589028717023,303.4260062345145,218.06522023406777,303.4260062345145,218.06522023406777,16452.28682775424
580.0094772761843,0.0,106.41244339518715,438.4707776364986,106.41244339518715,438.4707776364986,249566.88409237342,736.2912632065772,106.41244339518715,303.8870216127699,204.17952344815015,303.8870216127699,204.17952344815015,16786.923989295086
617.0472018262828,0.0,105.57636067418775,452.1065116684574,105.57636067418775,452.1065116684574,249626.24842185708,507.2568824351023,105.57636067418775,304.3765173408094,230.093540458733,304.3765173408094,230.093540458733,16865.287174604833
582.1562963871055,0.0,104.79788987352634,468.9146364383887,104.79788987352634,468.9146364383887,249634.69219193226,579.938140489817,104.79788987352634,304.89434837048464,223.72224211695104,304.89434837048464,223.72224211695104,17021.40661448074
591.8196598726948,0.0,104.07726167090198,409.41833428366743,104.07726167090198,409.41833428366743,249713.01625585038,544.6928207569637,104.07726167090198,305.44036125728576,215.94348612976768,305.44036125728576,215.94348612976768,17148.792849521553
642.4236535893803,0.0,103.41468960400354,354.04136836210347,103.41468960400354,354.04136836210347,249897.98385147366,205.16611902063784,103.41468960400354,306.01439420581045,222.38264492738975,306.01439420581045,222.38264492738975,16928.976619012996
603.1715406063738,0.0,102.81037000723393,418.55661754384363,102.81037000723393,418.55661754384363,249979.78840452895,548.6876700003882,102.81037000723393,306.6162771177075,221.0304268429431,306.6162771177075,221.0304268429431,17052.82795505997
617.5642741736687,0.0,102.26448195353191,432.5055483323486,102.26448195353191,432.5055483323486,250062.58264841675,527.7465539557654,102.26448195353191,307.24583164208036,217.70682659995938,307.24583164208036,217.70682659995938,17157.886332727227
654.5095028604676,0.0,101.77718720130906,415.481631893314,101.77718720130906,415.481631893314,250199.8333321826,477.4134349208928,101.77718720130906,307.90287122833655,243.62114318107936,307.90287122833655,243.62114318107936,17185.55294044001
635.9645430894168,0.0,101.34863014651714,378.0979864043508,101.34863014651714,378.0979864043508,250356.35125872114,461.93824618973787,101.34863014651714,308.58720118146664,222.33518984066177,308.58720118146664,222.33518984066177,17217.917425754138
608.5140235499346,0.0,100.9789377798605,360.2894659260373,100.9789377798605,360.2894659260373,250503.59687856518,453.2069429565495,100.9789377798605,309.2986187197364,213.28444109232217,309.2986187197364,213.28444109232217,17249.52024667849
651.9836559374808,0.0,100.66821964916596,375.3194268505947,100.66821964916596,375.3194268505947,250679.5928880029,441.2976801322019,100.66821964916596,310.0369130347757,224.05294524021753,310.0369130347757,224.05294524021753,17257.396288184864
635.7826366423741,0.0,100.41656782692158,410.01348167942785,100.41656782692158,410.01348167942785,250804.94547513893,709.8495634053189,100.41656782692158,310.80186535404516,214.72002812749793,310.80186535404516,214.72002812749793,17542.14052593556
636.1683097417312,0.0,100.22405688299327,379.7681311169855,100.22405688299327,379.7681311169855,250961.1215968807,479.6561176949362,100.22405688299327,311.59324900566367,222.16485000452698,311.59324900566367,222.16485000452698,17588.2626015033
671.0643652195179,0.0,100.09074386252854,382.84781162073045,100.09074386252854,382.84781162073045,251149.24740661695,572.8133416954174,100.09074386252854,312.41082948557573,211.96885205698226,312.41082948557573,211.96885205698226,17736.787005518687
632.5203501190013,0.0,100.01666826905242,350.0821888706565,100.01666826905242,350.0821888706565,251331.66889959623,559.9165724257733,100.01666826905242,313.2543645270403,205.26650780898873,313.2543645270403,205.26650780898873,17878.199373877484
643.8541687304522,0.0,100.00185205276196,323.5151008758103,100.00185205276196,323.5151008758103,251552.0061153981,638.4521409198924,100.00185205276196,314.12360417241973,213.32050244184555,314.12360417241973,213.32050244184555,18089.20926023587
633.9742985790864,0.0,100.04629960402184,298.58723764157475,100.04629960402184,298.58723764157475,251787.3468767316,606.1058630929864,100.04629960402184,315.0182908472472,223.03825118935794,315.0182908472472,223.03825118935794,18257.304880896274
646.7302899746187,0.0,100.14999775206331,349.8151725781399,100.14999775206331,349.8151725781399,251984.111996376,553.4847911311714,100.14999775206331,315.93815943655216,217.72737281470435,315.93815943655216,217.72737281470435,18377.274137528253
647.4117532794365,0.0,100.31291576888714,390.7200005153034,100.31291576888714,390.7200005153034,252140.49083337127,583.4550920449561,100.31291576888714,316.8829373634192,219.66318204111033,316.8829373634192,219.66318204111033,18524.496025937566
670.6623001793864,0.0,100.53500537836891,351.11580180610764,100.53500537836891,351.11580180610764,252359.50232636617,469.3714449570617,100.53500537836891,317.85234466975857,202.79245977562888,317.85234466975857,202.79245977562888,18573.75767182761
669.0147492640922,0.0,100.8162007705642,374.8290450087477,100.8162007705642,374.8290450087477,252552.87182985095,645.1162508955614,100.8162007705642,318.8460940992639,201.97219945664102,318.8460940992639,201.97219945664102,18798.87182993783
686.6126301351038,0.0,101.15641862120961,381.71346618305927,101.15641862120961,381.71346618305927,252756.6145751818,609.1846872936721,101.15641862120961,319.86389118253237,203.85136334136538,319.86389118253237,203.85136334136538,18985.497681328816
674.6678052525145,0.0,101.55555811641355,373.5416527932159,101.55555811641355,373.5416527932159,252956.1851695247,681.2890023763839,101.55555811641355,320.9054343243223,198.27448521670573,320.9054343243223,198.27448521670573,19249.162322280587
