r1_inflow,r1_upstream_release,r1_min_flow,r1_demand,r1_release,r1_delivery,r1_storage,r2_inflow,r2_upstream_release,r2_min_flow,r2_demand,r2_release,r2_delivery,r2_storage
0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
500.8171188958621,0.0,127.37157439001771,515.123417936825,127.37157439001771,515.123417936825,249858.32212656902,455.1551064040872,127.37157439001771,300.00092602638097,253.40207528523533,300.00092602638097,253.40207528523533,15029.123679482489
523.687427383501,0.0,125.6587362581356,508.6553504041972,125.6587362581356,508.6553504041972,249747.69546729018,660.4596545631637,125.6587362581356,300.02314980201095,239.54299925108705,300.02314980201095,239.54299925108705,15275.67592125069
511.674276860701,0.0,123.99755920529284,470.32936024674257,123.99755920529284,470.32936024674257,249665.04282469884,428.93112017044183,123.99755920529284,300.07499887603166,245.08841251161985,300.07499887603166,245.08841251161985,15283.441189238772
519.9115667121308,0.0,122.38853547410136,499.2569584738748,122.38853547410136,499.2569584738748,249563.308897463,561.167752958072,122.38853547410136,300.15645788444357,267.81306182169635,300.15645788444357,267.81306182169635,15399.027957964807
537.8919562053849,0.0,120.83214185301821,434.0870857481195,120.83214185301821,434.0870857481195,249546.28162606724,533.8825341629342,120.83214185301821,300.2675026891844,237.81071785586622,300.2675026891844,237.81071785586622,15515.664413435708
515.474486653172,0.0,119.32883953506311,516.3800027465306,119.32883953506311,516.3800027465306,249426.0472704388,494.26747049707393,119.32883953506311,300.40810038528207,223.1099637800208,300.40810038528207,223.1099637800208,15605.742659302543
537.1422519453371,0.0,117.87907398115672,463.75566564514264,117.87907398115672,463.75566564514264,249381.55478275786,402.26025025762567,117.87907398115672,300.5782093106048,232.01062313947955,300.5782093106048,232.01062313947955,15593.29315109124
523.5568680133896,0.0,116.48327478812124,467.1423133301082,116.48327478812124,467.1423133301082,249321.486062653,480.19683484036216,116.48327478812124,300.77777905820676,240.5522927780167,300.77777905820676,240.5522927780167,15648.6431888835
577.9082408857325,0.0,115.14185556138133,439.22040925006127,115.14185556138133,439.22040925006127,249345.0320387273,445.3107583758809,115.14185556138133,301.0067504912647,235.97980582222732,301.0067504912647,235.97980582222732,15672.109246507269
568.203707329187,0.0,113.8552137924041,437.4656381741011,113.8552137924041,437.4656381741011,249361.91489409,672.6932225038686,113.8552137924041,301.2650557606014,224.0425956165707,301.2650557606014,224.0425956165707,15933.35003142637
530.7410822036836,0.0,112.62373074091369,452.4874854336755,112.62373074091369,452.4874854336755,249327.5447601191,446.151102893177,112.62373074091369,301.5526183247908,229.61094729092292,301.5526183247908,229.61094729092292,15960.961299444747
565.4918573978446,0.0,111.44777132191584,471.35279257628946,111.44777132191584,471.35279257628946,249310.23605361875,547.1401377666855,111.44777132191584,301.86935297283907,231.73809914672904,301.86935297283907,231.73809914672904,16085.94175641378
588.4144205696804,0.0,110.32768399756569,457.2607734512563,110.32768399756569,457.2607734512563,249331.0620167396,515.5087918090037,110.32768399756569,302.2151658494343,245.3367268001396,302.2151658494343,245.3367268001396,16164.226339570776
548.5482065514457,0.0,109.26380067391085,445.7215401425001,109.26380067391085,445.7215401425001,249324.62488247463,608.2674521876401,109.26380067391085,302.58995448275795,231.80986728719037,302.58995448275795,231.80986728719037,16347.357770662378
560.1117113719422,0.0,108.25643660254073,446.94575711981946,108.25643660254073,446.94575711981946,249329.53440012422,491.54503602633224,108.25643660254073,302.99360781484927,224.71800760915445,302.99360781484927,224.71800760915445,16419.44762786725
556.1480528983026,0.0,107.30589028717023,471.2609859265888,107.30589028717023,471.2609859265888,249307.11557680875,493.9955922138066,107.30589028717023,303.4260062345145,240.98942727462907,303.4260062345145,240.98942727462907,16476.33367685908
589.1975122068875,0.0,106.41244339518715,420.03860551034893,106.41244339518715,420.03860551034893,249369.8620401101,619.02742633051,106.41244339518715,303.8870216127699,230.9540538810863,303.8870216127699,230.9540538810863,16666.932471090924
589.1748593256267,0.0,105.57636067418775,382.3778869284729,105.57636067418775,382.3778869284729,249471.08265183307,562.6979636886426,105.57636067418775,304.3765173408094,235.98363429800798,304.3765173408094,235.98363429800798,16794.846643814937
